num_convex_hull_points,num_convexity_defects,bounding_box_width,bounding_box_height,aspect_ratio,contour_area,contour_perimeter,label
11,8,310,341,0.909091,57169.5,1981.03,gesture_name
10,7,310,340,0.911765,57697,2045.13,gesture_name
12,8,315,340,0.926471,58675.5,2004.75,gesture_name
13,11,310,330,0.939394,58146.5,1863.69,gesture_name
11,8,310,341,0.909091,58081,2132.33,gesture_name
12,10,314,341,0.920821,59522.5,1732.64,gesture_name
14,10,311,340,0.914706,56805.5,2405.51,gesture_name
9,6,315,341,0.923754,58104,2067.96,gesture_name
12,9,311,338,0.920118,58798.5,1881.69,gesture_name
10,8,312,340,0.917647,58901.5,1823.89,gesture_name
10,9,316,336,0.940476,57161,1757.65,gesture_name
15,11,312,335,0.931343,58538.5,1953.09,gesture_name
9,7,316,342,0.923977,59261,1850.28,gesture_name
11,9,313,338,0.926036,58870.5,1851.41,gesture_name
12,10,312,339,0.920354,58912.5,1914.32,gesture_name
10,8,313,340,0.920588,58834,1850.08,gesture_name
9,7,316,341,0.926686,58406,2026.44,gesture_name
11,9,314,340,0.923529,59390,1837.94,gesture_name
12,10,312,341,0.914956,60373,1649.77,gesture_name
11,9,314,341,0.920821,60238.5,1816.58,gesture_name
14,12,312,336,0.928571,59507,1840.42,gesture_name
13,10,306,340,0.9,57612,1606.6,gesture_name
10,7,312,341,0.914956,58127,1701.85,gesture_name
16,10,321,336,0.955357,58848.5,1781.89,gesture_name
16,10,346,343,1.00875,61868.5,1648.21,gesture_name
13,10,360,340,1.05882,62340,1826.96,gesture_name
16,12,376,339,1.10914,67861.5,1575.02,gesture_name
19,17,397,387,1.02584,90405,2612.38,gesture_name
16,12,407,454,0.896476,109418,3062.73,gesture_name
17,13,409,466,0.877682,115940,2399.97,gesture_name
15,13,273,341,0.800587,52435.5,1671.07,gesture_name
16,11,276,340,0.811765,52962,1659.02,gesture_name
17,13,277,338,0.819527,53034.5,1812.18,gesture_name
15,11,277,336,0.824405,53153,1859.39,gesture_name
13,9,287,342,0.839181,53348,1929.82,gesture_name
13,8,279,342,0.815789,53459.5,1794.66,gesture_name
13,7,295,341,0.865103,53481,1775.25,gesture_name
21,16,278,334,0.832335,53266.5,1750.86,gesture_name
13,8,289,340,0.85,53296,1924.16,gesture_name
12,8,293,341,0.859238,53832.5,1703.61,gesture_name
12,7,276,341,0.809384,53668.5,1710.72,gesture_name
17,13,282,339,0.831858,53413.5,1837.63,gesture_name
12,9,290,341,0.85044,53261.5,1939.63,gesture_name
12,8,297,342,0.868421,54243.5,1817.29,gesture_name
14,9,290,341,0.85044,53545,1862.5,gesture_name
12,6,279,341,0.818182,53960,1748.14,gesture_name
12,7,280,339,0.825959,53407.5,1789.15,gesture_name
14,10,287,340,0.844118,53708,1817.73,gesture_name
13,11,280,337,0.830861,53648,1862.16,gesture_name
17,11,278,339,0.820059,53834.5,1630.01,gesture_name
13,10,290,340,0.852941,53496.5,1794.18,gesture_name
13,7,291,341,0.853372,53665.5,1901.78,gesture_name
12,8,279,339,0.823009,53841.5,1692.24,gesture_name
15,12,283,338,0.837278,53454,1799.94,gesture_name
8,6,287,342,0.839181,53679,1799.79,gesture_name
14,11,275,340,0.808824,53537,1772.28,gesture_name
13,10,277,342,0.809942,53220,1813.39,gesture_name
16,9,279,339,0.823009,53836,1751.11,gesture_name
16,10,276,331,0.833837,53230,1901.68,gesture_name
10,7,284,341,0.832845,53528,1722.82,gesture_name
14,9,276,339,0.814159,53619.5,1804.52,gesture_name
12,9,278,340,0.817647,53542,1676.2,gesture_name
12,9,280,336,0.833333,53127.5,1865.09,gesture_name
13,9,278,341,0.815249,53186,1812.7,gesture_name
12,7,283,337,0.839763,53616.5,1797.98,gesture_name
15,9,282,337,0.836795,53033,2000.1,gesture_name
13,9,289,336,0.860119,52982,1903.53,gesture_name
12,9,279,341,0.818182,53326,2030.73,gesture_name
15,9,282,338,0.83432,53482.5,1800.86,gesture_name
14,11,275,331,0.830816,53225.5,1804.32,gesture_name
10,7,279,341,0.818182,53388.5,1919.52,gesture_name
13,8,287,339,0.846608,53360,1925.62,gesture_name
13,9,281,341,0.824047,53272,1793.25,gesture_name
13,8,286,340,0.841176,53462.5,1956,gesture_name
12,9,284,339,0.837758,53305.5,1855.43,gesture_name
12,7,287,340,0.844118,53237,1968.79,gesture_name
11,9,279,337,0.827893,53637.5,1681.61,gesture_name
11,6,284,341,0.832845,53459.5,1773.69,gesture_name
11,5,287,340,0.844118,53077.5,1957.37,gesture_name
11,7,291,334,0.871257,53687,1708.88,gesture_name
14,11,276,330,0.836364,53439.5,1791.15,gesture_name
14,9,280,337,0.830861,53481.5,1964.89,gesture_name
11,9,288,333,0.864865,53566,1677.37,gesture_name
16,11,278,340,0.817647,53509,1944.59,gesture_name
9,5,293,341,0.859238,53327,1902.65,gesture_name
12,8,276,340,0.811765,53435,1939.96,gesture_name
15,9,295,342,0.862573,56995.5,1565.87,gesture_name
13,9,296,342,0.865497,57216,1569.97,gesture_name
13,9,287,340,0.844118,53491,1762.96,gesture_name
22,17,283,414,0.683575,37625,1857.81,gesture_name
21,18,281,412,0.682039,35605.5,1895.56,gesture_name
22,17,277,410,0.67561,33466,1910.92,gesture_name
22,17,271,409,0.662592,31278.5,1952.96,gesture_name
17,12,267,408,0.654412,26790.5,1777.56,gesture_name
21,17,265,408,0.64951,29477,2003.63,gesture_name
21,16,267,408,0.654412,29491.5,2008.5,gesture_name
23,18,267,408,0.654412,29531,2014.74,gesture_name
21,15,267,407,0.65602,29568,2005.29,gesture_name
16,12,259,406,0.637931,22899,1967.71,gesture_name
18,12,214,325,0.658462,17029,1503.78,gesture_name
15,9,209,322,0.649068,16104,1621.32,gesture_name
16,12,213,310,0.687097,15756,1510.27,gesture_name
15,9,205,288,0.711806,15156,1354.73,gesture_name
16,12,207,308,0.672078,15301,1480.27,gesture_name
17,11,211,313,0.674121,15266,1514.27,gesture_name
