threshVal,depthLevel,numHullPoints,numDefects,bbox.width,bbox.height,aspect_ratio,area,perimeter,gesture_label
75,10,17,12,204,375,0.544,27897,1585.62,Closed_Fist_1.csv
75,10,17,12,205,374,0.548128,27745.5,1585.86,Closed_Fist_1.csv
75,10,17,12,206,373,0.552279,28266,1576.99,Closed_Fist_1.csv
75,10,17,12,207,373,0.55496,28342.5,1579.03,Closed_Fist_1.csv
75,10,20,13,207,372,0.556452,28097,1582.3,Closed_Fist_1.csv
75,10,17,11,208,372,0.55914,28384.5,1584.4,Closed_Fist_1.csv
75,10,16,10,208,372,0.55914,28468,1580.79,Closed_Fist_1.csv
75,10,16,10,207,372,0.556452,28440.5,1582,Closed_Fist_1.csv
75,10,16,10,207,372,0.556452,28400,1576.65,Closed_Fist_1.csv
75,10,19,14,207,373,0.55496,28389,1578.65,Closed_Fist_1.csv
75,10,17,12,205,373,0.549598,28375.5,1586.89,Closed_Fist_1.csv
75,10,18,12,204,373,0.546917,28380,1579.33,Closed_Fist_1.csv
75,10,16,12,203,373,0.544236,28520,1575.88,Closed_Fist_1.csv
75,10,19,13,201,373,0.538874,29338,1573.73,Closed_Fist_1.csv
75,10,19,14,213,381,0.559055,34504,1370.8,Closed_Fist_1.csv
75,10,19,13,207,386,0.536269,33518.5,1335.99,Closed_Fist_1.csv
75,10,19,13,201,390,0.515385,31260.5,1545.5,Closed_Fist_1.csv
75,10,20,15,201,394,0.510152,31289.5,1584.82,Closed_Fist_1.csv
75,10,17,12,205,396,0.517677,31500.5,1698.9,Closed_Fist_1.csv
75,10,20,15,207,397,0.521411,31568.5,1750.07,Closed_Fist_1.csv
75,10,20,14,208,397,0.523929,31535,1757.43,Closed_Fist_1.csv
75,10,18,12,209,396,0.527778,31542,1758.25,Closed_Fist_1.csv
75,10,18,12,209,394,0.530457,31608,1744.88,Closed_Fist_1.csv
75,10,17,11,210,393,0.534351,31462.5,1740.5,Closed_Fist_1.csv
75,10,17,11,209,393,0.531807,31340.5,1758.98,Closed_Fist_1.csv
75,10,18,12,210,393,0.534351,31368,1771.71,Closed_Fist_1.csv
75,10,19,13,203,390,0.520513,31368,1618.66,Closed_Fist_1.csv
75,10,25,19,139,320,0.434375,24793.5,885.227,Closed_Fist_1.csv
75,10,21,17,132,294,0.44898,21173,794.985,Closed_Fist_1.csv
75,10,23,17,130,303,0.429043,21372.5,983.536,Closed_Fist_1.csv
75,10,17,13,129,301,0.428571,21225.5,974.365,Closed_Fist_1.csv
75,10,20,16,128,291,0.439863,20590,803.955,Closed_Fist_1.csv
75,10,18,14,131,301,0.435216,21086.5,976.222,Closed_Fist_1.csv
75,10,18,13,128,290,0.441379,20546.5,802.056,Closed_Fist_1.csv
75,10,16,10,131,300,0.436667,21179,958.465,Closed_Fist_1.csv
75,10,19,16,131,300,0.436667,21169,959.637,Closed_Fist_1.csv
75,10,16,11,132,299,0.441472,21199,960.465,Closed_Fist_1.csv
75,10,19,13,134,296,0.452703,21328.5,945.737,Closed_Fist_1.csv
75,10,21,16,140,290,0.482759,21396,969.637,Closed_Fist_1.csv
75,10,23,17,121,283,0.427562,20680.5,813.026,Closed_Fist_1.csv
75,10,24,18,124,285,0.435088,20825.5,799.713,Closed_Fist_1.csv
75,10,22,15,127,287,0.442509,20900.5,800.198,Closed_Fist_1.csv
75,10,21,17,137,297,0.461279,21473,972.808,Closed_Fist_1.csv
75,10,21,16,131,288,0.454861,20698.5,808.198,Closed_Fist_1.csv
75,10,20,14,135,297,0.454545,21258.5,955.394,Closed_Fist_1.csv
75,10,18,12,133,298,0.446309,21226.5,956.708,Closed_Fist_1.csv
75,10,20,14,134,300,0.446667,21247,966.95,Closed_Fist_1.csv
75,10,18,14,135,303,0.445545,21353,968.95,Closed_Fist_1.csv
75,10,19,13,134,306,0.437908,21475,985.779,Closed_Fist_1.csv
