threshVal,depthLevel,numHullPoints,numDefects,bbox.width,bbox.height,aspect_ratio,area,perimeter,gesture_label
144,10,21,15,151,372,0.405914,27979.5,1548.9,closeFist_1.csv
144,10,17,12,150,371,0.404313,27966.5,1550.9,closeFist_1.csv
144,10,19,13,150,371,0.404313,27942,1549.83,closeFist_1.csv
144,10,22,16,151,371,0.407008,27952.5,1549.73,closeFist_1.csv
144,10,21,15,150,371,0.404313,27965,1549.34,closeFist_1.csv
144,10,21,15,150,371,0.404313,28010.5,1549.24,closeFist_1.csv
144,10,19,14,150,371,0.404313,27965.5,1552.9,closeFist_1.csv
144,10,21,15,149,371,0.401617,27971.5,1553.24,closeFist_1.csv
144,10,19,13,150,371,0.404313,27966.5,1546.76,closeFist_1.csv
144,10,21,15,150,371,0.404313,28008.5,1554.9,closeFist_1.csv
144,10,19,14,148,371,0.398922,27976,1573.97,closeFist_1.csv
144,10,17,13,147,371,0.396226,27965,1565.48,closeFist_1.csv
144,10,18,13,148,371,0.398922,28002,1551.83,closeFist_1.csv
144,10,20,15,148,371,0.398922,27993.5,1554.9,closeFist_1.csv
144,10,19,14,147,371,0.396226,27992,1557.14,closeFist_1.csv
144,10,20,16,143,372,0.384409,28182.5,1570.47,closeFist_1.csv
144,10,24,18,142,342,0.415205,25743,1058.26,closeFist_1.csv
144,10,25,19,140,301,0.465116,23195.5,923.654,closeFist_1.csv
144,10,25,19,138,291,0.474227,21925.5,794.139,closeFist_1.csv
144,10,21,15,137,279,0.491039,20349,775.696,closeFist_1.csv
144,10,21,15,139,272,0.511029,19835,773.352,closeFist_1.csv
144,10,25,18,142,269,0.527881,19597,796.323,closeFist_1.csv
144,10,21,14,143,266,0.537594,19468,799.637,closeFist_1.csv
144,10,19,13,142,265,0.535849,19367.5,791.737,closeFist_1.csv
144,10,23,17,142,266,0.533835,19349.5,794.566,closeFist_1.csv
144,10,19,13,141,266,0.530075,19209,796.323,closeFist_1.csv
144,10,21,15,141,266,0.530075,19068.5,779.11,closeFist_1.csv
144,10,20,14,141,265,0.532075,18982.5,788.767,closeFist_1.csv
144,10,21,15,144,265,0.543396,18997.5,789.252,closeFist_1.csv
144,10,18,13,147,264,0.556818,19032,796.524,closeFist_1.csv
144,10,18,13,153,266,0.575188,19426,800.181,closeFist_1.csv
144,10,21,16,161,269,0.598513,19901.5,883.335,closeFist_1.csv
144,10,18,14,171,272,0.628676,20625.5,912.306,closeFist_1.csv
144,10,19,16,181,275,0.658182,21234.5,919.963,closeFist_1.csv
144,10,20,15,186,277,0.67148,21904,911.034,closeFist_1.csv
144,10,20,14,186,277,0.67148,22360.5,915.477,closeFist_1.csv
144,10,19,13,187,275,0.68,22563,919.862,closeFist_1.csv
144,10,18,13,186,272,0.683824,22627.5,917.82,closeFist_1.csv
144,10,24,17,183,270,0.677778,22546.5,913.477,closeFist_1.csv
144,10,21,16,180,269,0.669145,22302,917.235,closeFist_1.csv
144,10,20,14,175,270,0.648148,22115,909.779,closeFist_1.csv
144,10,21,15,172,272,0.632353,21896.5,909.193,closeFist_1.csv
144,10,22,16,168,273,0.615385,21669,905.637,closeFist_1.csv
144,10,17,13,164,272,0.602941,21503,914.95,closeFist_1.csv
144,10,25,19,160,273,0.586081,21751.5,868.767,closeFist_1.csv
144,10,23,17,159,285,0.557895,23352,917.21,closeFist_1.csv
144,10,20,14,153,314,0.487261,26652,985.98,closeFist_1.csv
144,10,21,15,156,365,0.427397,30210.5,1636.27,closeFist_1.csv
144,10,20,13,179,366,0.489071,29893,1731.31,closeFist_1.csv
144,10,20,13,186,364,0.510989,30172,1695.59,closeFist_1.csv
144,10,18,12,190,361,0.526316,30323.5,1678.66,closeFist_1.csv
144,10,19,13,193,359,0.537604,30674,1661.73,closeFist_1.csv
144,10,19,13,197,357,0.551821,31058.5,1673.43,closeFist_1.csv
144,10,20,14,198,356,0.55618,31329.5,1652.26,closeFist_1.csv
144,10,20,13,200,355,0.56338,31651,1672.65,closeFist_1.csv
144,10,18,14,201,353,0.569405,31756.5,1647.43,closeFist_1.csv
144,10,18,13,202,351,0.575499,31869.5,1640.75,closeFist_1.csv
144,10,19,13,203,349,0.581662,31991,1631.19,closeFist_1.csv
144,10,20,14,204,348,0.586207,32056,1636.99,closeFist_1.csv
144,10,15,9,203,347,0.585014,32172.5,1635.78,closeFist_1.csv
144,10,17,12,204,347,0.587896,32244.5,1641.09,closeFist_1.csv
144,10,17,11,204,346,0.589595,32172,1646.85,closeFist_1.csv
144,10,20,14,201,347,0.579251,32721,1629.88,closeFist_1.csv
144,10,18,12,281,350,0.802857,36382.5,1817.72,closeFist_1.csv
144,10,16,9,233,352,0.661932,34500,1353.52,closeFist_1.csv
144,10,15,9,185,351,0.527066,23345.5,1014.77,closeFist_1.csv
144,10,15,9,113,343,0.329446,18931.5,1246.85,closeFist_1.csv
144,10,20,15,268,331,0.809668,30203.5,1802.6,closeFist_1.csv
144,10,23,16,292,322,0.906832,34686.5,1800.75,closeFist_1.csv
144,10,18,11,284,319,0.890282,34766.5,1673.35,closeFist_1.csv
144,10,18,12,281,323,0.869969,34326.5,1652.72,closeFist_1.csv
144,10,18,11,276,327,0.844037,33115,1633.85,closeFist_1.csv
144,10,17,11,269,332,0.810241,32272,1637.37,closeFist_1.csv
144,10,16,11,262,337,0.777448,31737.5,1638.98,closeFist_1.csv
144,10,17,12,257,340,0.755882,31261,1633.71,closeFist_1.csv
144,10,17,12,253,343,0.737609,30752.5,1630.3,closeFist_1.csv
144,10,19,13,251,345,0.727536,30444.5,1627.12,closeFist_1.csv
144,10,17,11,248,346,0.716763,30123.5,1612.92,closeFist_1.csv
144,10,16,9,242,337,0.718101,28984.5,1528.78,closeFist_1.csv
144,10,23,16,201,294,0.683673,24300,1259.06,closeFist_1.csv
144,10,22,16,160,275,0.581818,20821.5,1161.28,closeFist_1.csv
144,10,19,14,134,241,0.556017,13916.5,1000.51,closeFist_1.csv
144,10,21,17,136,236,0.576271,15741,1232.57,closeFist_1.csv
144,10,20,15,135,238,0.567227,15633.5,1201.7,closeFist_1.csv
144,10,23,17,136,239,0.569038,15355,1203.95,closeFist_1.csv
144,10,22,16,135,238,0.567227,15202.5,1211.7,closeFist_1.csv
144,10,19,13,135,238,0.567227,15129.5,1199.56,closeFist_1.csv
144,10,18,14,135,239,0.564854,15139.5,1204.19,closeFist_1.csv
144,10,21,14,135,240,0.5625,15145,1214.43,closeFist_1.csv
144,10,19,13,135,241,0.560166,15224,1191.12,closeFist_1.csv
144,10,21,16,134,242,0.553719,15265,1190.97,closeFist_1.csv
144,10,20,13,134,244,0.54918,15297.5,1195.84,closeFist_1.csv
144,10,23,17,134,246,0.544715,15434.5,1183.56,closeFist_1.csv
144,10,19,14,134,246,0.544715,15596,1172.29,closeFist_1.csv
144,10,18,15,134,252,0.531746,18081.5,902.281,closeFist_1.csv
144,10,19,14,158,279,0.566308,20227,1177.52,closeFist_1.csv
144,10,14,8,187,300,0.623333,23725.5,1159.42,closeFist_1.csv
144,10,18,12,230,332,0.692771,25471.5,1580.58,closeFist_1.csv
144,10,21,14,218,349,0.624642,21668.5,1571.27,closeFist_1.csv
144,10,20,15,248,109,2.27523,12690,885.98,closeFist_1.csv
144,10,20,15,91,361,0.252078,13834,862.073,closeFist_1.csv
144,10,16,9,161,361,0.445983,23741,1095.21,closeFist_1.csv
144,10,14,9,212,360,0.588889,28701,1498.63,closeFist_1.csv
144,10,14,9,233,359,0.649025,30033.5,1666.21,closeFist_1.csv
144,10,15,11,240,360,0.666667,30280,1737.85,closeFist_1.csv
144,10,20,14,189,359,0.526462,28098.5,1618.21,closeFist_1.csv
144,10,16,12,202,357,0.565826,27641,1710.54,closeFist_1.csv
144,10,23,17,211,356,0.592697,26869,1623.91,closeFist_1.csv
144,10,18,13,219,353,0.620397,26971.5,1645.81,closeFist_1.csv
144,10,18,12,225,351,0.641026,27224.5,1659.61,closeFist_1.csv
144,10,20,15,228,349,0.653295,27327.5,1683.75,closeFist_1.csv
144,10,21,15,226,348,0.649425,27468,1692.68,closeFist_1.csv
144,10,20,15,225,347,0.648415,27864.5,1677.61,closeFist_1.csv
144,10,18,13,228,346,0.65896,28355.5,1675.27,closeFist_1.csv
144,10,19,13,227,347,0.654179,28699.5,1671.61,closeFist_1.csv
144,10,18,13,226,351,0.643875,30175.5,1786.38,closeFist_1.csv
144,10,19,13,225,355,0.633803,31936.5,1690.5,closeFist_1.csv
144,10,17,11,268,358,0.748603,34789,1828.68,closeFist_1.csv
144,10,17,10,267,361,0.739612,34680.5,1792.3,closeFist_1.csv
144,10,14,7,261,363,0.719008,34148,1746.31,closeFist_1.csv
144,10,14,8,256,365,0.70137,33784.5,1737.24,closeFist_1.csv
144,10,15,11,251,368,0.682065,33474,1738.17,closeFist_1.csv
144,10,18,11,246,370,0.664865,33058.5,1749.93,closeFist_1.csv
144,10,18,11,244,371,0.657682,32608.5,1793.38,closeFist_1.csv
144,10,16,10,243,371,0.654987,32272.5,1754.9,closeFist_1.csv
144,10,17,11,243,371,0.654987,32168.5,1757.38,closeFist_1.csv
144,10,15,9,243,370,0.656757,32180.5,1764.35,closeFist_1.csv
144,10,16,10,244,369,0.661247,32205.5,1767.18,closeFist_1.csv
144,10,15,10,245,369,0.663957,32302,1775.43,closeFist_1.csv
144,10,17,11,245,369,0.663957,32341.5,1783.47,closeFist_1.csv
144,10,18,12,244,363,0.672176,31633,1758.14,closeFist_1.csv
144,10,15,12,239,304,0.786184,27394.5,1239.99,closeFist_1.csv
144,10,25,20,159,289,0.550173,23409,903.838,closeFist_1.csv
144,10,21,16,157,272,0.577206,21329.5,881.737,closeFist_1.csv
144,10,20,15,158,259,0.610039,20101.5,854.08,closeFist_1.csv
144,10,22,17,158,255,0.619608,19833,858.666,closeFist_1.csv
144,10,19,14,161,253,0.636364,19737,853.838,closeFist_1.csv
144,10,21,15,162,253,0.640316,19701.5,847.252,closeFist_1.csv
144,10,21,16,163,253,0.644269,19667,842.666,closeFist_1.csv
144,10,23,18,162,254,0.637795,19663.5,840.423,closeFist_1.csv
144,10,19,14,162,254,0.637795,19623.5,858.08,closeFist_1.csv
144,10,18,15,162,253,0.640316,19632.5,860.909,closeFist_1.csv
