threshVal,depthLevel,numHullPoints,numDefects,bbox.width,bbox.height,aspect_ratio,area,perimeter,gesture_label
144,10,19,15,147,317,0.463722,19569.5,918.708,number1.csv
144,10,17,12,147,317,0.463722,19574,924.607,number1.csv
144,10,18,13,147,318,0.462264,19592,924.264,number1.csv
144,10,17,12,146,318,0.459119,19601,922.607,number1.csv
144,10,16,11,146,318,0.459119,19598,922.607,number1.csv
144,10,20,15,147,318,0.462264,19588,924.95,number1.csv
144,10,20,15,147,318,0.462264,19639,923.293,number1.csv
144,10,18,13,146,318,0.459119,19575,923.779,number1.csv
144,10,18,14,146,318,0.459119,19650.5,910.708,number1.csv
144,10,20,15,146,318,0.459119,19621,924.264,number1.csv
144,10,19,14,146,318,0.459119,19637,919.779,number1.csv
144,10,19,14,146,318,0.459119,19627,916.122,number1.csv
144,10,19,14,146,318,0.459119,19609.5,925.678,number1.csv
144,10,18,13,146,318,0.459119,19623,918.122,number1.csv
144,10,16,11,145,318,0.455975,19666,922.607,number1.csv
144,10,19,14,146,318,0.459119,19681.5,921.193,number1.csv
144,10,19,14,146,318,0.459119,19705,923.779,number1.csv
144,10,20,14,145,324,0.447531,20197.5,877.536,number1.csv
144,10,18,12,145,337,0.430267,20678.5,882.566,number1.csv
144,10,17,11,145,357,0.406162,20841,935.293,number1.csv
144,10,17,11,159,389,0.40874,21275.5,1020.99,number1.csv
144,10,19,14,160,394,0.406091,21395,1032.75,number1.csv
144,10,19,13,158,395,0.4,21389.5,1030.51,number1.csv
144,10,21,16,157,395,0.397468,21354,1025.44,number1.csv
144,10,23,17,154,393,0.391858,21336.5,1022.02,number1.csv
144,10,22,15,154,391,0.393862,21406,1014.95,number1.csv
144,10,20,14,155,390,0.397436,21402.5,1020.85,number1.csv
144,10,20,14,154,389,0.395887,21453,1013.78,number1.csv
144,10,19,13,153,389,0.393316,21492.5,1016.85,number1.csv
144,10,17,11,152,389,0.390746,21454,1009.78,number1.csv
144,10,18,13,151,388,0.389175,21394,1006.95,number1.csv
144,10,22,17,150,389,0.385604,21372.5,1008.36,number1.csv
144,10,18,12,150,390,0.384615,21405,1009.29,number1.csv
144,10,22,15,150,390,0.384615,21380,1011.44,number1.csv
144,10,20,14,149,389,0.383033,21335.5,1003.88,number1.csv
144,10,22,16,149,389,0.383033,21358,1004.81,number1.csv
144,10,20,14,151,389,0.388175,21400,1008.95,number1.csv
144,10,20,14,152,389,0.390746,21423.5,1008.02,number1.csv
144,10,24,18,153,389,0.393316,21434,1006.95,number1.csv
144,10,20,15,153,388,0.39433,21433.5,1009.68,number1.csv
144,10,21,15,153,388,0.39433,21445.5,1005.05,number1.csv
144,10,20,14,154,388,0.396907,21495.5,1010.36,number1.csv
144,10,21,15,154,388,0.396907,21532,1013.44,number1.csv
144,10,19,14,155,389,0.398458,21553,1014.61,number1.csv
144,10,23,17,161,386,0.417098,21498,1015.44,number1.csv
144,10,21,16,145,353,0.410765,20742,942.465,number1.csv
144,10,19,14,141,335,0.420896,20501.5,844.624,number1.csv
144,10,22,16,144,327,0.440367,20362.5,843.796,number1.csv
144,10,21,15,146,317,0.460568,20061.5,853.252,number1.csv
144,10,18,12,146,314,0.464968,19914,859.637,number1.csv
144,10,18,12,145,313,0.463259,19926.5,863.394,number1.csv
144,10,16,10,145,313,0.463259,19889.5,870.222,number1.csv
144,10,20,14,145,314,0.461783,19820,865.98,number1.csv
144,10,22,16,144,314,0.458599,19737.5,869.394,number1.csv
144,10,20,14,144,314,0.458599,19740,868.323,number1.csv
144,10,21,15,144,315,0.457143,19713.5,861.737,number1.csv
144,10,20,14,144,315,0.457143,19720,865.98,number1.csv
144,10,22,16,145,315,0.460317,19746.5,863.394,number1.csv
144,10,19,13,145,314,0.461783,19719.5,856.909,number1.csv
144,10,22,17,144,315,0.457143,19732.5,858.566,number1.csv
144,10,20,14,144,315,0.457143,19721.5,862.222,number1.csv
144,10,21,15,144,315,0.457143,19721,856.323,number1.csv
144,10,21,16,144,315,0.457143,19720,855.151,number1.csv
144,10,20,13,144,314,0.458599,19751,854.323,number1.csv
144,10,19,14,145,314,0.461783,19749,852.323,number1.csv
144,10,18,13,145,314,0.461783,19751.5,855.737,number1.csv
144,10,22,15,145,314,0.461783,19768.5,863.394,number1.csv
144,10,20,13,145,314,0.461783,19796.5,849.737,number1.csv
144,10,22,16,145,314,0.461783,19796,853.151,number1.csv
144,10,19,13,146,314,0.464968,19815,856.323,number1.csv
144,10,23,17,146,314,0.464968,19825.5,864.566,number1.csv
144,10,20,14,147,313,0.469649,19830.5,857.394,number1.csv
144,10,21,15,147,312,0.471154,19820.5,863.051,number1.csv
144,10,19,14,148,312,0.474359,19876,863.637,number1.csv
144,10,19,13,148,312,0.474359,19903,862.323,number1.csv
144,10,19,15,149,311,0.4791,19927,866.808,number1.csv
144,10,19,14,152,313,0.485623,20060,863.495,number1.csv
144,10,21,15,155,323,0.479876,20465.5,832.767,number1.csv
144,10,19,16,150,335,0.447761,20561.5,847.11,number1.csv
144,10,22,17,161,378,0.425926,21427.5,990.708,number1.csv
144,10,22,15,163,386,0.42228,21622.5,1013.19,number1.csv
144,10,23,16,163,388,0.420103,21533,1015.44,number1.csv
144,10,21,15,162,388,0.417526,21485.5,1012.85,number1.csv
144,10,23,17,163,387,0.421189,21458,1015.23,number1.csv
144,10,19,13,163,385,0.423377,21445,1007.44,number1.csv
144,10,24,17,164,384,0.427083,21465,1009.92,number1.csv
144,10,21,14,163,384,0.424479,21554,1008.61,number1.csv
144,10,24,18,163,384,0.424479,21589,1006.61,number1.csv
144,10,24,17,162,385,0.420779,21552,1004.61,number1.csv
144,10,24,18,160,385,0.415584,21483.5,1002.02,number1.csv
144,10,21,15,159,385,0.412987,21486.5,1000.36,number1.csv
144,10,24,18,159,386,0.411917,21488.5,1006.36,number1.csv
144,10,22,16,158,386,0.409326,21493,1002.95,number1.csv
144,10,24,18,157,386,0.406736,21458,1002.12,number1.csv
144,10,25,18,158,385,0.41039,21470,1000.12,number1.csv
144,10,20,15,159,386,0.411917,21509.5,1006.02,number1.csv
144,10,23,16,161,386,0.417098,21556,1004.26,number1.csv
144,10,21,14,161,385,0.418182,21554.5,1005.19,number1.csv
144,10,21,14,161,385,0.418182,21543.5,1002.36,number1.csv
144,10,21,14,162,385,0.420779,21565,1004.26,number1.csv
144,10,21,15,163,385,0.423377,21587.5,1003.68,number1.csv
144,10,22,16,163,385,0.423377,21605,1004.61,number1.csv
144,10,22,16,165,384,0.429688,21642.5,1012.65,number1.csv
144,10,22,16,168,382,0.439791,21687.5,1008.99,number1.csv
144,10,20,14,170,380,0.447368,21719.5,1007.82,number1.csv
144,10,23,17,171,379,0.451187,21770,1008.06,number1.csv
144,10,26,20,171,378,0.452381,21805,1008.06,number1.csv
144,10,24,18,169,377,0.448276,21806.5,1005.82,number1.csv
144,10,25,20,166,378,0.439153,21801,1003.92,number1.csv
144,10,21,15,163,379,0.430079,21782.5,1004.51,number1.csv
144,10,19,14,164,378,0.433862,21791,1004.26,number1.csv
144,10,23,17,179,371,0.48248,22024.5,999.134,number1.csv
