threshVal,depthLevel,numHullPoints,numDefects,bbox.width,bbox.height,aspect_ratio,area,perimeter,gesture_label
144,10,22,17,219,238,0.920168,21772.5,1074.82,number1_4.csv
144,10,23,18,219,238,0.920168,21751,1072.57,number1_4.csv
144,10,22,16,219,238,0.920168,21811.5,1070.47,number1_4.csv
144,10,23,17,219,238,0.920168,21770.5,1069.64,number1_4.csv
144,10,21,16,220,238,0.92437,21753.5,1071.3,number1_4.csv
144,10,22,17,220,238,0.92437,21762.5,1075.64,number1_4.csv
144,10,22,17,220,238,0.92437,21760.5,1061.64,number1_4.csv
144,10,22,17,220,238,0.92437,21839.5,1023.02,number1_4.csv
144,10,21,15,220,238,0.92437,21783,1073.4,number1_4.csv
144,10,23,16,220,238,0.92437,21884.5,1045.5,number1_4.csv
144,10,23,16,220,238,0.92437,21781.5,1072.82,number1_4.csv
144,10,22,17,221,238,0.928571,21841.5,1037.84,number1_4.csv
144,10,22,15,221,238,0.928571,21786.5,1082.27,number1_4.csv
144,10,22,17,222,238,0.932773,21867.5,1023.36,number1_4.csv
144,10,23,18,221,239,0.924686,21959.5,1074.82,number1_4.csv
144,10,24,18,216,244,0.885246,22428,916.749,number1_4.csv
144,10,23,17,196,257,0.762646,21589,783.009,number1_4.csv
144,10,18,13,152,297,0.511785,21436.5,796.624,number1_4.csv
144,10,24,18,127,340,0.373529,21409.5,925.11,number1_4.csv
144,10,23,16,114,341,0.334311,20655.5,879.737,number1_4.csv
144,10,21,16,107,340,0.314706,20346,882.122,number1_4.csv
144,10,22,16,122,338,0.360947,20197.5,878.021,number1_4.csv
144,10,21,14,133,335,0.397015,19920,877.578,number1_4.csv
144,10,23,19,140,333,0.42042,19668.5,882.791,number1_4.csv
144,10,19,14,145,331,0.438066,19501.5,882.649,number1_4.csv
144,10,18,12,149,330,0.451515,19371.5,878.306,number1_4.csv
144,10,19,14,152,330,0.460606,19305,877.72,number1_4.csv
144,10,22,16,154,330,0.466667,19230.5,879.134,number1_4.csv
144,10,23,17,154,329,0.468085,19109.5,873.82,number1_4.csv
144,10,21,16,155,329,0.471125,19102,875.72,number1_4.csv
144,10,19,15,156,330,0.472727,19137,877.72,number1_4.csv
144,10,23,18,154,330,0.466667,19085,879.034,number1_4.csv
144,10,22,16,153,329,0.465046,19047.5,874.306,number1_4.csv
144,10,19,15,153,328,0.466463,19011.5,875.477,number1_4.csv
144,10,20,15,154,328,0.469512,19026.5,876.992,number1_4.csv
144,10,22,18,154,328,0.469512,18974,874.063,number1_4.csv
144,10,20,15,152,327,0.464832,18902.5,872.649,number1_4.csv
144,10,20,16,152,326,0.466258,18804.5,872.306,number1_4.csv
144,10,20,15,152,325,0.467692,18791.5,864.164,number1_4.csv
144,10,23,17,149,325,0.458462,18743,863.921,number1_4.csv
144,10,22,17,143,326,0.43865,18693,864.264,number1_4.csv
144,10,20,14,133,328,0.405488,18656.5,853.394,number1_4.csv
144,10,23,17,101,335,0.301493,18700,846.098,number1_4.csv
144,10,21,17,97,282,0.343972,17194,740.5,number1_4.csv
144,10,22,16,93,266,0.349624,17187,695.245,number1_4.csv
144,10,27,20,129,251,0.513944,18276,693.044,number1_4.csv
144,10,24,19,191,233,0.819742,20199.5,785.37,number1_4.csv
144,10,26,20,217,220,0.986364,20791.5,815.11,number1_4.csv
144,10,26,21,216,214,1.00935,20360,862.406,number1_4.csv
144,10,25,20,233,216,1.0787,20466.5,911.418,number1_4.csv
144,10,26,20,246,214,1.14953,20308,933.602,number1_4.csv
144,10,25,18,255,212,1.20283,20235,932.774,number1_4.csv
144,10,25,19,263,210,1.25238,20212,931.602,number1_4.csv
144,10,24,17,269,208,1.29327,20259.5,935.644,number1_4.csv
144,10,22,16,273,208,1.3125,20284.5,960.472,number1_4.csv
144,10,28,21,275,207,1.3285,20388,1019.48,number1_4.csv
144,10,24,17,275,207,1.3285,20442,1018.66,number1_4.csv
144,10,23,17,274,207,1.32367,20486,1023.48,number1_4.csv
144,10,22,16,274,207,1.32367,20580.5,1014.9,number1_4.csv
144,10,25,20,274,207,1.32367,20670.5,1024.21,number1_4.csv
144,10,25,22,274,207,1.32367,20743,1028.45,number1_4.csv
144,10,28,24,271,207,1.30918,20922,1049.97,number1_4.csv
144,10,24,18,270,210,1.28571,21320,990.857,number1_4.csv
144,10,27,20,268,211,1.27014,21447.5,996.614,number1_4.csv
144,10,27,20,266,214,1.24299,21599,965.2,number1_4.csv
144,10,28,21,262,216,1.21296,21636.5,961.301,number1_4.csv
144,10,25,21,260,217,1.19816,21769,913.259,number1_4.csv
144,10,24,18,272,219,1.24201,22229.5,906.188,number1_4.csv
144,10,22,15,263,228,1.15351,21876,826.975,number1_4.csv
144,10,31,24,244,237,1.02954,21393,785.862,number1_4.csv
144,10,30,23,217,270,0.803704,21259,890.205,number1_4.csv
144,10,23,17,177,312,0.567308,20253,864.264,number1_4.csv
144,10,19,14,148,340,0.435294,19417.5,912.767,number1_4.csv
144,10,18,11,127,353,0.359773,18768.5,1019.19,number1_4.csv
144,10,17,12,121,358,0.337989,18284,1050.26,number1_4.csv
144,10,17,10,124,360,0.344444,17926,1094.75,number1_4.csv
144,10,15,9,126,362,0.348066,17688.5,1128.31,number1_4.csv
144,10,18,11,131,363,0.360882,17714.5,1137.62,number1_4.csv
144,10,16,11,134,362,0.370166,17550,1157.03,number1_4.csv
144,10,18,13,137,360,0.380556,17383.5,1161.76,number1_4.csv
144,10,16,11,136,358,0.379888,17283,1156.83,number1_4.csv
144,10,15,10,137,356,0.384831,17234,1135.03,number1_4.csv
144,10,19,14,138,355,0.388732,17215.5,1116.65,number1_4.csv
144,10,18,12,139,353,0.393768,17156,1134.69,number1_4.csv
144,10,18,13,139,352,0.394886,17117,1116.06,number1_4.csv
144,10,18,12,139,350,0.397143,17127.5,1125.13,number1_4.csv
144,10,18,13,139,350,0.397143,17155.5,1112.65,number1_4.csv
144,10,18,12,138,348,0.396552,17125,1100.41,number1_4.csv
144,10,20,14,138,346,0.398844,17035,1103.23,number1_4.csv
144,10,20,13,138,344,0.401163,17026.5,1097.13,number1_4.csv
144,10,16,9,138,342,0.403509,16975.5,1090.65,number1_4.csv
144,10,15,10,139,341,0.407625,16972.5,1086.31,number1_4.csv
144,10,19,14,139,339,0.410029,16891,1078.41,number1_4.csv
144,10,17,12,138,337,0.409496,16883.5,1077.96,number1_4.csv
144,10,18,14,138,337,0.409496,16954.5,1073.13,number1_4.csv
144,10,17,11,137,339,0.40413,17274,1071.58,number1_4.csv
144,10,16,10,134,343,0.390671,17788.5,1024.71,number1_4.csv
144,10,20,14,131,338,0.387574,18076.5,1037.19,number1_4.csv
144,10,23,17,128,302,0.423841,17537.5,987.678,number1_4.csv
144,10,28,21,98,276,0.355072,16275,757.127,number1_4.csv
144,10,26,20,98,255,0.384314,15370,740.299,number1_4.csv
144,10,22,16,124,222,0.558559,14695.5,644.6,number1_4.csv
144,10,20,14,157,205,0.765854,16239.5,706.056,number1_4.csv
144,10,21,15,184,194,0.948454,17758.5,724.198,number1_4.csv
144,10,17,12,199,191,1.04188,18666,764.725,number1_4.csv
144,10,21,15,210,199,1.05528,19512,739.009,number1_4.csv
144,10,23,17,219,211,1.03791,20636,767.436,number1_4.csv
144,10,21,15,227,221,1.02715,21464,818.205,number1_4.csv
144,10,19,13,233,226,1.03097,21922.5,858.389,number1_4.csv
144,10,23,17,235,231,1.01732,22340,911.602,number1_4.csv
144,10,22,17,236,238,0.991597,23110,917.117,number1_4.csv
144,10,25,18,238,245,0.971429,23852.5,924.188,number1_4.csv
144,10,20,13,241,250,0.964,24651.5,935.703,number1_4.csv
144,10,21,14,245,253,0.968379,25429,951.117,number1_4.csv
144,10,24,18,250,256,0.976562,26034,1013.89,number1_4.csv
144,10,23,17,258,248,1.04032,26661,975.602,number1_4.csv
144,10,22,18,264,251,1.05179,27488,992.087,number1_4.csv
144,10,21,17,270,255,1.05882,28190,1024.23,number1_4.csv
144,10,21,15,273,260,1.05,28814,1024.71,number1_4.csv
144,10,23,17,276,262,1.05344,29064.5,1037.64,number1_4.csv
144,10,21,15,280,260,1.07692,28160.5,959.786,number1_4.csv
144,10,17,11,281,254,1.1063,28049,932.916,number1_4.csv
144,10,19,13,313,264,1.18561,30017.5,1081.47,number1_4.csv
144,10,17,12,311,280,1.11071,29354.5,1257.69,number1_4.csv
144,10,17,12,332,299,1.11037,29094.5,1260.04,number1_4.csv
144,10,21,16,336,303,1.10891,29127.5,1267.01,number1_4.csv
144,10,18,13,336,299,1.12375,28864,1301.11,number1_4.csv
