threshVal,depthLevel,numHullPoints,numDefects,bbox.width,bbox.height,aspect_ratio,area,perimeter,gesture_label
144,10,15,8,196,341,0.57478,18323,1006.75,pinch_2.csv
144,10,15,10,197,342,0.576023,18296.5,1006.51,pinch_2.csv
144,10,12,6,197,342,0.576023,18336.5,1008.16,pinch_2.csv
144,10,12,6,197,342,0.576023,18324.5,1007.68,pinch_2.csv
144,10,13,7,197,342,0.576023,18338.5,1006.51,pinch_2.csv
144,10,12,8,197,343,0.574344,18358.5,1008.16,pinch_2.csv
144,10,14,8,196,343,0.571429,18335.5,1004.85,pinch_2.csv
144,10,13,8,196,343,0.571429,18317.5,1010.85,pinch_2.csv
144,10,13,7,195,343,0.568513,18319.5,1006.02,pinch_2.csv
144,10,15,10,195,343,0.568513,18282.5,1009.34,pinch_2.csv
144,10,12,6,194,342,0.567251,18249.5,1005.68,pinch_2.csv
144,10,15,9,195,342,0.570175,18228,1008.26,pinch_2.csv
144,10,16,10,195,342,0.570175,18193.5,1010.51,pinch_2.csv
144,10,14,8,194,341,0.568915,18123.5,1010.02,pinch_2.csv
144,10,16,10,192,338,0.568047,18103,1003.44,pinch_2.csv
144,10,17,11,184,331,0.555891,18516,1082.83,pinch_2.csv
144,10,19,14,170,311,0.546624,17962,1024.71,pinch_2.csv
144,10,18,13,158,283,0.558304,17698,1062.57,pinch_2.csv
144,10,22,16,157,283,0.55477,17648.5,1086.61,pinch_2.csv
144,10,19,14,156,283,0.551237,19146.5,836.566,pinch_2.csv
144,10,19,13,154,283,0.54417,19040.5,832.222,pinch_2.csv
144,10,21,15,153,282,0.542553,18971.5,833.394,pinch_2.csv
144,10,19,15,154,282,0.546099,19063,827.495,pinch_2.csv
144,10,19,14,154,283,0.54417,19070,833.151,pinch_2.csv
144,10,19,12,154,283,0.54417,19075.5,831.879,pinch_2.csv
144,10,19,13,155,283,0.547703,19061,832.465,pinch_2.csv
144,10,17,12,155,282,0.549645,19098.5,829.394,pinch_2.csv
