threshVal,depthLevel,numHullPoints,numDefects,bbox.width,bbox.height,aspect_ratio,area,perimeter,gesture_label
144,10,12,8,555,480,1.15625,192182,3034.3,Closed_Fist.csv.csv
144,10,12,8,554,480,1.15417,191980,3035.47,Closed_Fist.csv.csv
144,10,9,6,555,480,1.15625,191793,2944.6,Closed_Fist.csv.csv
144,10,10,6,556,480,1.15833,191830,3089.66,Closed_Fist.csv.csv
144,10,12,7,555,480,1.15625,192046,3045.61,Closed_Fist.csv.csv
144,10,11,8,556,480,1.15833,191938,3011.81,Closed_Fist.csv.csv
144,10,11,7,555,480,1.15625,191794,3127.55,Closed_Fist.csv.csv
144,10,15,9,552,480,1.15,191836,3073.55,Closed_Fist.csv.csv
144,10,12,7,555,480,1.15625,191790,3010.3,Closed_Fist.csv.csv
144,10,15,11,553,480,1.15208,191854,3019.13,Closed_Fist.csv.csv
144,10,13,8,555,480,1.15625,191794,3149.5,Closed_Fist.csv.csv
144,10,13,10,551,480,1.14792,191728,3004.5,Closed_Fist.csv.csv
144,10,12,8,554,480,1.15417,192052,2989.19,Closed_Fist.csv.csv
144,10,13,9,552,480,1.15,191588,3094.77,Closed_Fist.csv.csv
144,10,12,9,556,480,1.15833,191777,3012.89,Closed_Fist.csv.csv
144,10,13,8,556,480,1.15833,191835,3017.37,Closed_Fist.csv.csv
144,10,13,9,553,480,1.15208,191776,3030.89,Closed_Fist.csv.csv
144,10,12,7,555,480,1.15625,191928,2939.87,Closed_Fist.csv.csv
144,10,12,7,557,480,1.16042,191710,3047.86,Closed_Fist.csv.csv
144,10,12,7,552,480,1.15,190516,2882.17,Closed_Fist.csv.csv
144,10,13,9,552,480,1.15,189002,2976.5,Closed_Fist.csv.csv
144,10,12,8,556,480,1.15833,188842,3037.33,Closed_Fist.csv.csv
144,10,11,7,556,480,1.15833,188285,2981.23,Closed_Fist.csv.csv
144,10,12,8,556,480,1.15833,188667,2943,Closed_Fist.csv.csv
144,10,12,8,556,480,1.15833,188716,2971.53,Closed_Fist.csv.csv
144,10,11,7,556,480,1.15833,188864,3006.16,Closed_Fist.csv.csv
144,10,12,8,556,480,1.15833,188754,2975.29,Closed_Fist.csv.csv
144,10,13,9,556,480,1.15833,188822,3004.3,Closed_Fist.csv.csv
144,10,11,8,556,480,1.15833,188573,2989.09,Closed_Fist.csv.csv
144,10,14,10,556,480,1.15833,188503,3017.71,Closed_Fist.csv.csv
144,10,12,8,556,480,1.15833,188482,3007.09,Closed_Fist.csv.csv
144,10,13,10,556,480,1.15833,188612,3004.54,Closed_Fist.csv.csv
144,10,13,9,556,480,1.15833,188708,2955.25,Closed_Fist.csv.csv
144,10,10,7,556,480,1.15833,188503,2995.29,Closed_Fist.csv.csv
144,10,11,6,556,480,1.15833,188728,3026.4,Closed_Fist.csv.csv
144,10,13,8,556,480,1.15833,188792,2984.64,Closed_Fist.csv.csv
144,10,10,7,556,480,1.15833,188954,2956.56,Closed_Fist.csv.csv
144,10,11,6,556,480,1.15833,189343,2802.43,Closed_Fist.csv.csv
144,10,13,8,556,480,1.15833,188960,3041.13,Closed_Fist.csv.csv
144,10,11,7,556,480,1.15833,188842,3007.91,Closed_Fist.csv.csv
144,10,12,8,556,480,1.15833,188904,2975.97,Closed_Fist.csv.csv
144,10,11,6,556,480,1.15833,188860,3016.54,Closed_Fist.csv.csv
144,10,13,8,556,480,1.15833,188950,2971.19,Closed_Fist.csv.csv
144,10,13,9,556,480,1.15833,188750,2955.19,Closed_Fist.csv.csv
144,10,13,8,556,480,1.15833,188671,2966.12,Closed_Fist.csv.csv
144,10,12,7,556,480,1.15833,188704,2872.48,Closed_Fist.csv.csv
144,10,9,6,557,480,1.16042,189665,2944.26,Closed_Fist.csv.csv
144,10,11,7,556,480,1.15833,191482,2887.25,Closed_Fist.csv.csv
144,10,11,7,557,480,1.16042,192896,3029.07,Closed_Fist.csv.csv
144,10,13,8,557,480,1.16042,193112,2956.84,Closed_Fist.csv.csv
144,10,14,9,556,480,1.15833,192787,2992.89,Closed_Fist.csv.csv
144,10,10,6,557,480,1.16042,192284,3051.76,Closed_Fist.csv.csv
