threshVal,depthLevel,numHullPoints,numDefects,bbox.width,bbox.height,aspect_ratio,area,perimeter,gesture_label
144,10,11,8,640,480,1.33333,218170,3834.66,Closed_Fist.csv.csv
144,10,11,7,640,480,1.33333,218656,3488.62,Closed_Fist.csv.csv
144,10,10,8,640,480,1.33333,219182,3788.08,Closed_Fist.csv.csv
144,10,11,8,640,480,1.33333,218904,3621.43,Closed_Fist.csv.csv
144,10,11,8,640,480,1.33333,218982,3652.26,Closed_Fist.csv.csv
144,10,11,8,640,480,1.33333,217857,4017.4,Closed_Fist.csv.csv
144,10,10,8,640,480,1.33333,218710,3640.7,Closed_Fist.csv.csv
144,10,11,8,640,480,1.33333,219660,3703.95,Closed_Fist.csv.csv
144,10,10,9,640,480,1.33333,218276,4001.86,Closed_Fist.csv.csv
144,10,10,8,640,480,1.33333,218650,3817.88,Closed_Fist.csv.csv
144,10,9,8,640,480,1.33333,218384,3816.42,Closed_Fist.csv.csv
144,10,10,8,640,480,1.33333,217605,3793.35,Closed_Fist.csv.csv
144,10,9,7,640,480,1.33333,215052,4291.81,Closed_Fist.csv.csv
144,10,9,6,640,480,1.33333,214044,3834.22,Closed_Fist.csv.csv
144,10,11,8,640,480,1.33333,213518,3983.01,Closed_Fist.csv.csv
144,10,9,6,640,480,1.33333,211872,4189.62,Closed_Fist.csv.csv
144,10,9,7,640,480,1.33333,212452,3950.99,Closed_Fist.csv.csv
144,10,8,6,640,480,1.33333,212051,4222.6,Closed_Fist.csv.csv
144,10,9,7,640,480,1.33333,211514,4545.72,Closed_Fist.csv.csv
144,10,9,6,640,480,1.33333,212166,3956.1,Closed_Fist.csv.csv
144,10,8,6,640,480,1.33333,211044,4604.14,Closed_Fist.csv.csv
144,10,8,6,640,480,1.33333,212462,4008.87,Closed_Fist.csv.csv
144,10,9,6,640,480,1.33333,212240,4201.97,Closed_Fist.csv.csv
144,10,9,6,640,480,1.33333,212410,3983.9,Closed_Fist.csv.csv
144,10,10,7,640,480,1.33333,212424,3926.4,Closed_Fist.csv.csv
144,10,8,6,640,480,1.33333,211139,4596.1,Closed_Fist.csv.csv
144,10,9,6,640,480,1.33333,212202,4033.7,Closed_Fist.csv.csv
144,10,10,7,640,480,1.33333,211406,4554.89,Closed_Fist.csv.csv
144,10,9,6,640,480,1.33333,212359,3944.61,Closed_Fist.csv.csv
144,10,9,7,640,480,1.33333,211024,4639.11,Closed_Fist.csv.csv
144,10,10,8,640,480,1.33333,210462,4228.55,Closed_Fist.csv.csv
144,10,9,6,640,480,1.33333,212107,4114.37,Closed_Fist.csv.csv
144,10,8,6,640,480,1.33333,212534,3893.53,Closed_Fist.csv.csv
144,10,9,7,640,480,1.33333,211365,4618.47,Closed_Fist.csv.csv
144,10,9,7,640,480,1.33333,212626,4044.53,Closed_Fist.csv.csv
144,10,9,6,640,480,1.33333,214421,3910.4,Closed_Fist.csv.csv
144,10,10,7,640,480,1.33333,216705,3846.95,Closed_Fist.csv.csv
144,10,10,7,640,480,1.33333,218728,3568.27,Closed_Fist.csv.csv
144,10,10,8,640,480,1.33333,219376,3577.43,Closed_Fist.csv.csv
144,10,11,8,640,480,1.33333,219248,3640.6,Closed_Fist.csv.csv
144,10,10,7,640,480,1.33333,218891,3808.66,Closed_Fist.csv.csv
144,10,12,9,640,480,1.33333,219136,3586.9,Closed_Fist.csv.csv
144,10,10,8,640,480,1.33333,219034,3694.97,Closed_Fist.csv.csv
144,10,10,8,640,480,1.33333,219118,3662.2,Closed_Fist.csv.csv
144,10,10,8,640,480,1.33333,219419,3837.29,Closed_Fist.csv.csv
144,10,11,8,640,480,1.33333,219378,3682.15,Closed_Fist.csv.csv
144,10,11,9,640,480,1.33333,219474,3684.34,Closed_Fist.csv.csv
144,10,9,7,640,480,1.33333,219758,3623.81,Closed_Fist.csv.csv
144,10,11,8,640,480,1.33333,220498,3676.1,Closed_Fist.csv.csv
144,10,11,8,640,480,1.33333,220594,3653.47,Closed_Fist.csv.csv
144,10,13,10,640,480,1.33333,220480,3663.57,Closed_Fist.csv.csv
144,10,10,8,640,480,1.33333,221118,3609.57,Closed_Fist.csv.csv
