threshVal,depthLevel,numHullPoints,numDefects,bbox.width,bbox.height,aspect_ratio,area,perimeter,gesture_label
67,4,20,15,136,248,0.548387,21699.5,698.943,NumberOne_3.csv
67,4,21,15,136,247,0.550607,21600.5,696.458,NumberOne_3.csv
67,4,18,12,137,246,0.556911,21778,693.387,NumberOne_3.csv
67,4,20,15,137,245,0.559184,21777.5,695.63,NumberOne_3.csv
67,4,17,11,136,246,0.552846,21776,691.387,NumberOne_3.csv
67,4,19,14,137,247,0.554656,21785,697.044,NumberOne_3.csv
67,4,18,13,135,248,0.544355,21810,699.044,NumberOne_3.csv
67,4,13,9,128,273,0.468864,21592,721.529,NumberOne_3.csv
67,4,17,10,121,308,0.392857,22445.5,804.943,NumberOne_3.csv
67,4,16,10,119,309,0.385113,22305.5,798.801,NumberOne_3.csv
67,4,15,9,118,311,0.379421,22232,801.387,NumberOne_3.csv
67,4,16,11,119,310,0.383871,22146.5,799.973,NumberOne_3.csv
67,4,15,9,118,311,0.379421,22199.5,797.487,NumberOne_3.csv
67,4,17,11,118,311,0.379421,22143,795.245,NumberOne_3.csv
67,4,16,10,118,310,0.380645,22130.5,798.316,NumberOne_3.csv
67,4,16,10,118,311,0.379421,22157,797.245,NumberOne_3.csv
67,4,14,8,118,309,0.381877,22075.5,796.659,NumberOne_3.csv
67,4,16,10,118,310,0.380645,22159,799.588,NumberOne_3.csv
67,4,16,10,118,309,0.381877,22060.5,795.487,NumberOne_3.csv
67,4,16,10,118,309,0.381877,22084,794.073,NumberOne_3.csv
67,4,16,10,117,308,0.37987,22058.5,791.487,NumberOne_3.csv
67,4,19,13,117,309,0.378641,22045.5,792.316,NumberOne_3.csv
67,4,18,13,117,308,0.37987,21991.5,787.002,NumberOne_3.csv
67,4,16,10,117,308,0.37987,22004,786.759,NumberOne_3.csv
67,4,17,11,116,311,0.37299,22337.5,785.345,NumberOne_3.csv
67,4,18,12,118,304,0.388158,22800.5,778.257,NumberOne_3.csv
67,4,16,10,121,262,0.461832,21028,855.328,NumberOne_3.csv
67,4,19,15,119,264,0.450758,21603.5,710.032,NumberOne_3.csv
67,4,18,12,127,266,0.477444,21789.5,715.688,NumberOne_3.csv
67,4,25,19,137,265,0.516981,21908,715.387,NumberOne_3.csv
67,4,25,20,144,262,0.549618,21734,706.558,NumberOne_3.csv
67,4,23,17,150,257,0.583658,21460,702.843,NumberOne_3.csv
67,4,24,19,154,250,0.616,21096,695.671,NumberOne_3.csv
67,4,24,19,166,246,0.674797,21392.5,707.855,NumberOne_3.csv
67,4,23,20,203,269,0.754647,23336,888.264,NumberOne_3.csv
67,4,24,18,222,262,0.847328,23022.5,877.963,NumberOne_3.csv
67,4,20,15,225,248,0.907258,22807,863.092,NumberOne_3.csv
67,4,16,9,225,245,0.918367,22719.5,855.193,NumberOne_3.csv
67,4,21,16,225,246,0.914634,22739,859.779,NumberOne_3.csv
67,4,18,13,224,246,0.910569,22334.5,983.904,NumberOne_3.csv
67,4,19,13,224,247,0.906883,22294.5,988.247,NumberOne_3.csv
67,4,20,14,225,247,0.910931,22593.5,854.708,NumberOne_3.csv
67,4,18,13,225,248,0.907258,22590.5,862.85,NumberOne_3.csv
67,4,21,15,225,248,0.907258,22611,863.436,NumberOne_3.csv
67,4,18,12,225,248,0.907258,22614,857.293,NumberOne_3.csv
67,4,22,15,224,250,0.896,22628,857.779,NumberOne_3.csv
67,4,19,13,223,252,0.884921,22663,858.95,NumberOne_3.csv
67,4,18,12,221,253,0.873518,22638,860.95,NumberOne_3.csv
67,4,19,13,220,254,0.866142,22591.5,861.193,NumberOne_3.csv
67,4,21,15,219,254,0.862205,22592.5,861.193,NumberOne_3.csv
67,4,18,12,218,255,0.854902,22009,1067.26,NumberOne_3.csv
67,4,22,17,217,259,0.837838,22590,862.264,NumberOne_3.csv
67,4,21,15,208,270,0.77037,23171,866.122,NumberOne_3.csv
67,4,22,18,162,245,0.661224,21272.5,965.477,NumberOne_3.csv
67,4,21,15,145,238,0.609244,20708.5,685.487,NumberOne_3.csv
67,4,22,16,138,234,0.589744,19881.5,653.345,NumberOne_3.csv
67,4,19,16,131,225,0.582222,19632.5,653.487,NumberOne_3.csv
67,4,24,18,146,211,0.691943,20100.5,651.831,NumberOne_3.csv
67,4,23,18,163,207,0.78744,21779,671.446,NumberOne_3.csv
67,4,26,20,181,204,0.887255,22871,689.73,NumberOne_3.csv
67,4,27,23,202,203,0.995074,23886,922.524,NumberOne_3.csv
67,4,22,16,216,207,1.04348,23386,931.779,NumberOne_3.csv
67,4,24,18,272,214,1.27103,24171.5,1169.24,NumberOne_3.csv
67,4,22,17,280,214,1.30841,24440.5,1164.96,NumberOne_3.csv
67,4,26,21,281,212,1.32547,24425.5,1157.64,NumberOne_3.csv
67,4,25,19,281,210,1.3381,24365.5,1147.64,NumberOne_3.csv
67,4,24,18,281,211,1.33175,24450.5,1150.82,NumberOne_3.csv
67,4,21,16,280,213,1.31455,24473,1160.23,NumberOne_3.csv
67,4,25,19,280,214,1.30841,24498,1168.37,NumberOne_3.csv
67,4,23,18,279,214,1.30374,24473.5,1174.13,NumberOne_3.csv
67,4,26,21,279,214,1.30374,24437,1169.2,NumberOne_3.csv
67,4,26,20,279,214,1.30374,24424.5,1179.79,NumberOne_3.csv
67,4,25,19,279,214,1.30374,24416,1173.54,NumberOne_3.csv
67,4,24,19,279,212,1.31604,24442.5,1162.13,NumberOne_3.csv
67,4,21,16,279,209,1.33493,24394,1143.74,NumberOne_3.csv
67,4,22,17,279,209,1.33493,24362.5,1146.33,NumberOne_3.csv
67,4,22,17,279,209,1.33493,24344,1150.57,NumberOne_3.csv
67,4,21,16,279,209,1.33493,24336,1147.06,NumberOne_3.csv
67,4,24,18,280,210,1.33333,24319.5,1146.47,NumberOne_3.csv
67,4,21,14,279,210,1.32857,24312.5,1135.99,NumberOne_3.csv
67,4,24,19,278,214,1.29907,24678,1134.23,NumberOne_3.csv
67,4,16,11,212,217,0.976959,23585.5,960.507,NumberOne_3.csv
67,4,21,15,187,232,0.806034,22465,975.72,NumberOne_3.csv
67,4,20,15,131,237,0.552743,20803,687.245,NumberOne_3.csv
67,4,19,13,123,242,0.508264,20464,669.103,NumberOne_3.csv
67,4,19,13,121,242,0.5,20019,654.617,NumberOne_3.csv
67,4,16,10,120,242,0.495868,19760.5,659.203,NumberOne_3.csv
67,4,18,12,119,242,0.491736,19549.5,660.032,NumberOne_3.csv
67,4,19,13,118,243,0.485597,19469,653.789,NumberOne_3.csv
67,4,18,13,117,263,0.444867,20088,681.931,NumberOne_3.csv
67,4,20,15,115,296,0.388514,21561.5,762.517,NumberOne_3.csv
67,4,19,13,115,298,0.385906,21409,760.759,NumberOne_3.csv
67,4,19,13,115,301,0.38206,21358,760.416,NumberOne_3.csv
67,4,18,12,115,301,0.38206,21305,761.103,NumberOne_3.csv
67,4,18,13,115,302,0.380795,21313,766.416,NumberOne_3.csv
67,4,17,11,114,301,0.378738,21277,762.274,NumberOne_3.csv
67,4,16,10,114,301,0.378738,21253.5,761.688,NumberOne_3.csv
67,4,21,16,115,301,0.38206,21246.5,763.345,NumberOne_3.csv
67,4,18,13,114,300,0.38,21229.5,758.517,NumberOne_3.csv
67,4,18,12,115,300,0.383333,21270.5,760.517,NumberOne_3.csv
67,4,18,12,115,300,0.383333,21242.5,759.345,NumberOne_3.csv
67,4,19,13,115,297,0.387205,21189.5,753.688,NumberOne_3.csv
67,4,18,12,115,296,0.388514,21182.5,750.032,NumberOne_3.csv
67,4,15,9,115,295,0.389831,21120.5,747.688,NumberOne_3.csv
67,4,18,12,116,295,0.39322,21136,749.103,NumberOne_3.csv
67,4,17,11,115,294,0.391156,21156,747.931,NumberOne_3.csv
67,4,18,12,115,293,0.392491,21158,745.931,NumberOne_3.csv
67,4,20,14,115,293,0.392491,21454.5,745.002,NumberOne_3.csv
67,4,17,12,116,247,0.469636,20327.5,685.203,NumberOne_3.csv
67,4,20,14,121,241,0.502075,19878.5,677.002,NumberOne_3.csv
67,4,16,11,124,237,0.523207,19608,660.902,NumberOne_3.csv
67,4,16,10,124,238,0.521008,19571,652.759,NumberOne_3.csv
67,4,21,15,126,240,0.525,19649,657.588,NumberOne_3.csv
67,4,17,11,126,240,0.525,19649.5,659.831,NumberOne_3.csv
67,4,17,12,126,239,0.527197,19642,655.931,NumberOne_3.csv
67,4,18,13,125,239,0.523013,19627.5,657.831,NumberOne_3.csv
67,4,17,11,125,238,0.52521,19624.5,656.174,NumberOne_3.csv
67,4,19,13,125,273,0.457875,21230.5,729.973,NumberOne_3.csv
67,4,16,10,121,287,0.421603,22721,760.416,NumberOne_3.csv
67,4,24,18,117,297,0.393939,22360,763.931,NumberOne_3.csv
67,4,22,16,118,298,0.395973,21480,763.044,NumberOne_3.csv
67,4,20,14,119,293,0.406143,21215,756.014,NumberOne_3.csv
67,4,23,17,120,287,0.418118,21156.5,745.286,NumberOne_3.csv
67,4,25,20,121,283,0.427562,21080,743.671,NumberOne_3.csv
67,4,21,16,121,283,0.427562,21058.5,742.115,NumberOne_3.csv
67,4,20,14,120,283,0.424028,21045,739.872,NumberOne_3.csv
67,4,25,19,120,285,0.421053,21083.5,737.973,NumberOne_3.csv
