threshVal,depthLevel,numHullPoints,numDefects,bbox.width,bbox.height,aspect_ratio,area,perimeter,gesture_label
75,10,13,9,402,361,1.11357,69706,4077.48,oneTesting.csv
75,10,11,7,415,363,1.14325,119130,2591.27,oneTesting.csv
75,10,11,7,415,363,1.14325,118950,2686.22,oneTesting.csv
75,10,11,7,416,364,1.14286,123774,2589.07,oneTesting.csv
75,10,10,6,416,384,1.08333,124832,2770.3,oneTesting.csv
75,10,12,9,416,384,1.08333,125152,2680.12,oneTesting.csv
75,10,11,7,416,384,1.08333,125164,2870.63,oneTesting.csv
75,10,12,8,416,384,1.08333,125356,2852.77,oneTesting.csv
75,10,12,8,416,363,1.14601,124406,2621.94,oneTesting.csv
75,10,11,7,417,363,1.14876,124202,2633.05,oneTesting.csv
75,10,10,6,417,364,1.1456,124287,2590.48,oneTesting.csv
75,10,14,11,417,384,1.08594,125326,2819.76,oneTesting.csv
75,10,11,8,417,383,1.08877,125346,2903.21,oneTesting.csv
75,10,15,11,417,383,1.08877,125261,2940.53,oneTesting.csv
75,10,10,7,417,364,1.1456,124162,2569.07,oneTesting.csv
75,10,12,9,417,384,1.08594,125253,2833.27,oneTesting.csv
75,10,14,10,417,383,1.08877,125298,2881.6,oneTesting.csv
75,10,10,7,417,383,1.08877,125082,2894.83,oneTesting.csv
75,10,12,8,416,384,1.08333,125321,2985.64,oneTesting.csv
75,10,12,8,417,384,1.08594,126586,2741.09,oneTesting.csv
75,10,13,9,417,384,1.08594,125489,2780.65,oneTesting.csv
75,10,10,6,417,364,1.1456,123934,2672.46,oneTesting.csv
75,10,11,8,417,384,1.08594,125504,2857.86,oneTesting.csv
75,10,11,7,417,384,1.08594,125506,2984.43,oneTesting.csv
75,10,13,10,418,384,1.08854,125560,2844.2,oneTesting.csv
75,10,12,8,417,384,1.08594,125344,2696.46,oneTesting.csv
75,10,13,9,417,384,1.08594,125431,2776.16,oneTesting.csv
75,10,12,9,417,384,1.08594,125675,2913.36,oneTesting.csv
75,10,10,6,417,384,1.08594,125692,2862.59,oneTesting.csv
75,10,11,7,417,383,1.08877,125278,2828.2,oneTesting.csv
75,10,12,8,417,383,1.08877,125140,2988.71,oneTesting.csv
75,10,12,10,417,384,1.08594,125678,2765.57,oneTesting.csv
75,10,13,9,416,384,1.08333,125469,3015.98,oneTesting.csv
75,10,11,8,415,383,1.08355,125300,2829.76,oneTesting.csv
75,10,11,7,412,363,1.13499,123488,2562.44,oneTesting.csv
75,10,9,7,410,384,1.06771,124672,2826.93,oneTesting.csv
75,10,11,7,407,384,1.0599,124858,2940.67,oneTesting.csv
75,10,12,9,432,383,1.12794,125032,2960.75,oneTesting.csv
75,10,10,7,441,383,1.15144,125259,3037.87,oneTesting.csv
75,10,9,6,444,383,1.15927,125788,2980.69,oneTesting.csv
75,10,11,8,446,384,1.16146,126718,3037.42,oneTesting.csv
75,10,8,6,447,384,1.16406,127444,3115.3,oneTesting.csv
75,10,8,5,447,383,1.1671,128430,2884.31,oneTesting.csv
75,10,10,6,448,383,1.16971,128982,3043.91,oneTesting.csv
75,10,8,6,449,363,1.23691,129135,2635.47,oneTesting.csv
75,10,10,7,449,384,1.16927,130826,3079.12,oneTesting.csv
75,10,10,7,449,383,1.17232,131313,3113.12,oneTesting.csv
75,10,9,6,449,383,1.17232,131594,3001.82,oneTesting.csv
75,10,8,6,449,384,1.16927,131879,3074.09,oneTesting.csv
75,10,11,7,449,384,1.16927,131961,3243.97,oneTesting.csv
75,10,8,6,449,384,1.16927,131635,3218.38,oneTesting.csv
75,10,9,6,449,383,1.17232,131246,3098.39,oneTesting.csv
75,10,9,6,448,383,1.16971,131043,3173.75,oneTesting.csv
75,10,8,5,448,384,1.16667,130687,2992.9,oneTesting.csv
75,10,7,5,448,384,1.16667,130284,2998.55,oneTesting.csv
75,10,8,5,447,383,1.1671,129624,3029.91,oneTesting.csv
75,10,6,5,447,384,1.16406,129715,2954.07,oneTesting.csv
75,10,8,5,446,384,1.16146,129362,3120.68,oneTesting.csv
75,10,7,5,446,384,1.16146,129014,3025.52,oneTesting.csv
75,10,8,5,446,383,1.16449,129014,3092.05,oneTesting.csv
75,10,7,5,446,383,1.16449,129235,3080.78,oneTesting.csv
75,10,6,5,446,384,1.16146,129188,3073.71,oneTesting.csv
75,10,6,5,445,384,1.15885,129046,3054.19,oneTesting.csv
75,10,6,5,445,384,1.15885,129224,3004.11,oneTesting.csv
75,10,7,6,446,384,1.16146,130620,3076.54,oneTesting.csv
75,10,10,7,447,384,1.16406,131666,3284.07,oneTesting.csv
75,10,11,7,447,383,1.1671,131462,3150.94,oneTesting.csv
75,10,8,6,447,457,0.978118,132315,3494.6,oneTesting.csv
75,10,9,6,447,459,0.973856,132502,3494.94,oneTesting.csv
75,10,9,6,447,460,0.971739,132467,3617.86,oneTesting.csv
75,10,9,7,447,459,0.973856,132510,3606.54,oneTesting.csv
75,10,11,7,447,368,1.21467,130413,2795.62,oneTesting.csv
75,10,8,7,448,459,0.976035,132513,3643.17,oneTesting.csv
75,10,9,6,448,459,0.976035,131662,3345.16,oneTesting.csv
75,10,11,8,448,383,1.16971,131983,3137.52,oneTesting.csv
75,10,10,7,448,383,1.16971,131954,3113,oneTesting.csv
75,10,12,8,447,384,1.16406,132089,3078.55,oneTesting.csv
75,10,11,7,448,384,1.16667,131764,3193.08,oneTesting.csv
75,10,11,10,448,384,1.16667,132147,3136.69,oneTesting.csv
75,10,9,7,447,458,0.975983,132380,3677.21,oneTesting.csv
75,10,12,8,447,384,1.16406,131711,3098.55,oneTesting.csv
75,10,11,8,448,384,1.16667,131902,3152.59,oneTesting.csv
75,10,11,7,447,384,1.16406,131680,3211.61,oneTesting.csv
75,10,12,8,447,383,1.1671,131434,3187.42,oneTesting.csv
75,10,11,7,447,383,1.1671,131626,3138.35,oneTesting.csv
75,10,9,6,447,459,0.973856,132670,3572.22,oneTesting.csv
75,10,10,6,447,459,0.973856,132440,3624.54,oneTesting.csv
75,10,11,7,447,383,1.1671,131362,3195.56,oneTesting.csv
75,10,9,6,447,383,1.1671,131445,3193.12,oneTesting.csv
75,10,11,7,447,384,1.16406,131800,3069.87,oneTesting.csv
75,10,10,6,447,384,1.16406,131256,3198.05,oneTesting.csv
75,10,8,6,447,384,1.16406,130981,3235.69,oneTesting.csv
75,10,9,6,447,383,1.1671,130872,3173.79,oneTesting.csv
75,10,7,6,448,384,1.16667,130824,2975.97,oneTesting.csv
75,10,9,6,448,365,1.2274,129992,2856.29,oneTesting.csv
75,10,8,5,448,384,1.16667,131146,3184.72,oneTesting.csv
75,10,8,5,448,383,1.16971,131034,2999.28,oneTesting.csv
75,10,8,5,448,363,1.23416,129806,2660.34,oneTesting.csv
75,10,7,5,448,384,1.16667,131279,3009.87,oneTesting.csv
75,10,8,5,448,384,1.16667,131205,3007.93,oneTesting.csv
