Overall CPU Usage,Core 0 CPU Usage,Core 1 CPU Usage,Core 2 CPU Usage,Core 3 CPU Usage,Core 4 CPU Usage,Core 5 CPU Usage,Core 6 CPU Usage,Core 7 CPU Usage,Core 8 CPU Usage,Core 9 CPU Usage,Core 10 CPU Usage,Core 11 CPU Usage,Used Memory (MB),Total Memory (MB),Memory Usage (%),Temperature (°C)
20%,16.35%,15.38%,15.09%,12.38%,11.54%,15.09%,13.59%,15.24%,16.82%,18.1%,100%,14.56%,5018,31803,15.78,77.000000°C
14.3%,24.04%,24.27%,19.42%,19.63%,18.45%,20.19%,22.33%,19.42%,23.81%,22.86%,100%,21.5%,5012,31803,15.76,77.000000°C
22.2%,14.42%,16.35%,13.46%,12.5%,100%,13.33%,14.15%,13.73%,16.35%,13.33%,14.85%,13.59%,5013,31803,15.76,77.000000°C
30%,16.5%,17.48%,20.19%,16.35%,100%,17.31%,14.71%,17.65%,21.15%,14.56%,17.65%,22.43%,5015,31803,15.77,77.000000°C
37.5%,13.13%,14.14%,16.35%,11%,39.6%,12.87%,12.87%,13.13%,15.24%,14.71%,72%,14.85%,5009,31803,15.75,78.000000°C
45.5%,16.83%,16.67%,15.69%,18.45%,38.24%,20.39%,19.23%,17.65%,16.5%,20.19%,78.22%,20.19%,5010,31803,15.75,79.000000°C
33.3%,17.48%,14.14%,10.89%,12%,100%,13.73%,17.48%,15.69%,13%,12.12%,11.76%,12.87%,5004,31803,15.73,78.000000°C
41.7%,16.16%,12.24%,13%,11.22%,100%,13.13%,18.63%,16%,13.27%,7.37%,14.14%,12.37%,5023,31803,15.79,78.000000°C
12.5%,10.31%,14%,12.12%,11.88%,100%,10%,13%,12.24%,10%,12.87%,14%,19.23%,5018,31803,15.78,78.000000°C
22.2%,13.27%,15.15%,13.27%,17.17%,100%,18.45%,13.27%,14.29%,17.48%,20.39%,17.35%,16.67%,5017,31803,15.78,78.000000°C
33.3%,9.09%,7.37%,11.22%,13.86%,100%,7.14%,10.2%,11.34%,9.38%,11.11%,11.22%,8.25%,5012,31803,15.76,79.000000°C
33.3%,7.14%,7.22%,11%,8.91%,100%,9%,6.25%,7.22%,5.15%,5%,8%,16%,5002,31803,15.73,77.000000°C
14.3%,6.12%,10.1%,4.12%,9%,100%,6.12%,7.37%,11%,7.22%,9.8%,8%,7.07%,4999,31803,15.72,76.000000°C
12.5%,7.14%,6.19%,8.08%,8.16%,100%,10.1%,11%,6.25%,9.09%,8.08%,7.14%,8.16%,5010,31803,15.75,76.000000°C
36.4%,11.88%,9%,11.76%,8.16%,100%,10.2%,8%,7.22%,8%,10.2%,7.14%,11.22%,5000,31803,15.72,76.000000°C
44.4%,13.86%,11.88%,11.34%,7.29%,13%,11%,10.2%,8.25%,11.34%,7.22%,98.02%,11.88%,5009,31803,15.75,77.000000°C
28.6%,22.33%,19.61%,12.5%,9.38%,13.4%,14.43%,11.34%,13.27%,11.46%,14.14%,100%,12.5%,5002,31803,15.73,79.000000°C
41.7%,14%,12.37%,14.58%,12.12%,15.69%,8.33%,11.22%,7.37%,11.22%,9.28%,100%,13.86%,4985,31803,15.67,79.000000°C
41.7%,19.39%,19.39%,19%,14.43%,83%,18.56%,16.33%,15.31%,21%,18%,30.93%,18.37%,5009,31803,15.75,78.000000°C
93.3%,10.53%,18.27%,16%,14%,100%,10.42%,17%,11.22%,17.82%,17.92%,15.84%,9.28%,5009,31803,15.75,79.000000°C
33.3%,18.37%,29.29%,17.17%,15.84%,83.84%,18%,17.35%,16.49%,19.42%,16.16%,29%,14.43%,5013,31803,15.76,79.000000°C
60%,15.62%,15.46%,16.83%,14.14%,52.04%,16.16%,13.54%,19.8%,15.15%,15.84%,62.63%,16.33%,5014,31803,15.77,79.000000°C
30%,15.62%,10.64%,16.83%,15.15%,100%,11.46%,14%,10.75%,12.24%,15.46%,17%,16%,5020,31803,15.78,79.000000°C
0%,27.72%,33.33%,36.36%,30.3%,100%,29.41%,38.61%,24.21%,42.86%,28.87%,22.68%,32.04%,5062,31803,15.92,82.000000°C
